direction,bytes,decrypt_us,encrypt_us,total_us,read_calls
forward,896,65,5,72,1
forward,1024,20,5,26,1
forward,1152,135,5,142,1
forward,1280,23,6,30,1
forward,1408,185,6,193,1
forward,1536,24,6,32,1
forward,1664,154,6,162,1
forward,1792,77,6,86,1
forward,1920,225,6,233,1
forward,2048,97,6,105,1
forward,2176,29,7,38,1
forward,2304,241,7,250,1
forward,2432,86,8,96,1
forward,2560,199,8,208,1
forward,2688,21,7,30,1
forward,2816,297,7,306,1
forward,2944,23,8,33,1
forward,128,71,4,77,1
forward,256,5,4,10,1
forward,384,5,4,10,1
forward,512,5,5,12,1
forward,640,43,4,49,1
forward,768,6,4,12,1
forward,896,72,5,79,1
forward,1024,6,5,13,1
forward,1152,112,5,119,1
forward,1280,73,5,80,1
forward,1408,22,5,29,1
forward,1536,157,6,165,1
forward,1664,92,6,99,1
forward,1792,22,6,30,1
forward,1920,111,6,120,1
forward,2048,57,8,67,1
forward,2176,178,8,187,1
forward,2304,140,7,150,1
forward,2432,20,7,29,1
forward,2560,276,7,285,1
forward,2688,28,7,37,1
forward,2816,223,7,232,1
forward,2944,83,8,93,1
forward,128,16,4,21,1
forward,256,5,3,10,1
forward,384,5,4,10,1
forward,512,50,4,56,1
forward,640,6,4,12,1
forward,768,98,5,104,1
forward,896,21,5,28,1
forward,1024,87,5,94,1
forward,1152,9,5,15,1
forward,1280,49,6,56,1
forward,1408,198,6,205,1
forward,1536,85,6,92,1
forward,1664,8,5,15,1
forward,1792,210,7,219,1
forward,1920,8,6,16,1
forward,2048,216,9,226,1
forward,2176,116,7,124,1
forward,2304,101,7,110,1
forward,2432,126,7,135,1
forward,2560,30,7,39,1
forward,2688,321,8,330,1
forward,2816,98,8,108,1
forward,2944,32,8,42,1
forward,128,80,4,86,1
forward,256,5,3,10,1
forward,384,5,4,10,1
forward,512,5,4,11,1
forward,640,50,4,56,1
forward,768,6,4,12,1
forward,896,99,5,105,1
forward,1024,6,4,13,1
forward,1152,132,5,139,1
forward,1280,7,5,14,1
forward,1408,94,6,101,1
forward,1536,142,6,150,1
forward,1664,8,5,15,1
forward,1792,186,7,195,1
forward,1920,108,6,116,1
forward,2048,89,6,98,1
forward,2176,211,7,220,1
forward,2304,21,7,30,1
forward,2432,216,8,226,1
forward,2560,18,7,27,1
forward,2688,229,8,238,1
forward,2816,164,12,178,1
forward,2944,78,12,92,1
forward,128,9,5,17,1
forward,256,6,4,11,1
forward,384,5,4,10,1
forward,512,324,9,335,1
forward,640,8,5,14,1
forward,768,6,4,12,1
forward,896,6,4,12,1
forward,1024,6,4,12,1
forward,1152,6,5,12,1
forward,1280,89,6,97,1
forward,1408,24,5,31,1
forward,1536,32,9,43,1
forward,1664,181,6,189,1
forward,1792,30,6,38,1
forward,1920,149,6,157,1
forward,2048,155,6,163,1
forward,2176,117,8,126,1
forward,2304,10,6,18,1
forward,2432,191,7,200,1
forward,2560,115,8,124,1
forward,2688,83,7,92,1
forward,2816,78,8,87,1
forward,2944,142,9,153,1
forward,128,5,3,10,1
forward,256,66,4,72,1
forward,384,5,4,10,1
forward,512,5,4,11,1
forward,640,5,4,11,1
forward,768,73,5,79,1
forward,896,23,5,29,1
forward,1024,19,5,26,1
forward,1152,86,5,93,1
forward,1280,125,7,134,1
forward,1408,77,5,84,1
forward,1536,81,6,89,1
forward,1664,142,6,150,1
forward,1792,92,6,100,1
forward,1920,8,6,15,1
forward,2048,195,6,203,1
forward,2176,114,6,122,1
